level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,all_features_nohelp,1,SVM,0.8802878853930487,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.702857142857143,0.6333333333333333,0.5947619047619047
Level1,all_features_nohelp,1,Random Forest,0.8705185310858934,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 50}",0.9435897435897436,0.9333333333333333,0.9299808429118774
Level1,all_features_nohelp,2,Dummy random,,,0.3688121402407117,0.3142857142857143,0.3232380952380952
Level1,all_features_nohelp,2,Ordered baseline,,,0.0,0.0,0.0
Level1,all_features_nohelp,2,Naive Bayes,0.7143467898452684,{'naive_bayes_clf__alpha': 0.1},0.6338461538461538,0.5714285714285714,0.5960634920634921
Level1,all_features_nohelp,2,Logistic regression,0.8424090434444069,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7197994987468671,0.7142857142857143,0.7092063492063492
Level1,all_features_nohelp,2,SVM,0.8638333045513573,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7571428571428571,0.7428571428571429,0.7407277407277406
Level1,all_features_nohelp,2,Random Forest,0.8711748505232277,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.8040816326530611,0.7714285714285715,0.7758275518644181
Level1,all_features_nohelp,3,Dummy random,,,0.5142857142857142,0.3142857142857143,0.3424489795918368
Level1,all_features_nohelp,3,Ordered baseline,,,0.0,0.0,0.0
Level1,all_features_nohelp,3,Naive Bayes,0.7175193055077509,{'naive_bayes_clf__alpha': 1.0},0.6952380952380952,0.6285714285714286,0.6593406593406594
Level1,all_features_nohelp,3,Logistic regression,0.8142789135344973,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7976657329598505,0.7142857142857143,0.7371428571428572
Level1,all_features_nohelp,3,SVM,0.8704954814093468,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.73796992481203,0.6857142857142857,0.6950793650793651
Level1,all_features_nohelp,3,Random Forest,0.8430964216443539,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.8038095238095238,0.8,0.7894962180676467
Level1,all_features_nohelp,4,Dummy random,,,0.32190048323769255,0.23255813953488372,0.266944941363546
Level1,all_features_nohelp,4,Ordered baseline,,,0.0,0.0,0.0
Level1,all_features_nohelp,4,Naive Bayes,0.732191619330975,{'naive_bayes_clf__alpha': 0.01},0.6321353065539111,0.6046511627906976,0.6015199878400973
Level1,all_features_nohelp,4,Logistic regression,0.8433062755130178,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.6802325581395349,0.6744186046511628,0.6536246276067527
Level1,all_features_nohelp,4,SVM,0.8669901343592002,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'poly'}",0.6846511627906977,0.6744186046511628,0.6745570321151717
Level1,all_features_nohelp,4,Random Forest,0.8397838843730534,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 100}",0.7151162790697675,0.7209302325581395,0.7090112449060882
Level1,sum_features_help_received,0,Dummy random,,,0.37783428692519594,0.36363636363636365,0.35574795574795576
Level1,sum_features_help_received,0,Ordered baseline,,,0.6427272727272727,0.3939393939393939,0.35800045913682277
Level1,sum_features_help_received,0,Naive Bayes,0.7658888376189136,{'naive_bayes_clf__alpha': 0.01},0.696969696969697,0.696969696969697,0.696969696969697
Level1,sum_features_help_received,0,Logistic regression,0.8599500913011848,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.5044677544677545,0.48484848484848486,0.47882101949087597
Level1,sum_features_help_received,0,SVM,0.9033666618464629,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6321991848307638,0.6060606060606061,0.5790512072597636
Level1,sum_features_help_received,0,Random Forest,0.8923512781055474,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 50}",0.6788337924701562,0.6666666666666666,0.6474328538844668
Level1,sum_features_help_received,1,Dummy random,,,0.37323232323232325,0.2,0.2136500754147813
Level1,sum_features_help_received,1,Ordered baseline,,,0.8660606060606061,0.3,0.3565359477124183
Level1,sum_features_help_received,1,Naive Bayes,0.75571484608489,{'naive_bayes_clf__alpha': 0.1},0.5388888888888889,0.4,0.42492997198879556
