level_key,features_set,classifier,K,feature,importance
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_std_for_disp_time,0.13030577822292494
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_std_while_disp_time,0.00157937720194528
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_code_editor_copied,0.010875786946598067
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_control_function_copied,0.009403990692129141
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_var_creation_copied,0.0023389467507264005
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_var_usage_copied,0.0
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_condi_1bran_copied,0.005204904993066953
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_condi_2bran_copied,0.0
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_condi_3bran_copied,0.001367315106767795
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_for_simple_copied,0.03280535856861942
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_for_counter_0_copied,0.0007691368787130867
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_for_counter_n_copied,0.0013119716834993484
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_while_simple_copied,0.002008223409724351
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_rate_pasted,0.020738244755931133
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_avg_open_chest_loc_error,0.02106351387127543
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_avg_walk_loc_error,0.024200359954657476
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_avg_not_allowed_func_error,0.00881979099143252
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_avg_function_param_error,0.03953171364881619
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_avg_too_many_lines_error,0.004229782235415231
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_avg_syntactic_error,0.03644543442642025
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_avg_semantic_error,0.008613504431671783
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_avg_user_stopped,0.01354636432084642
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_avg_executed,0.04330467953051564
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_std_syntactic_error,0.029030633911931725
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_std_executed,0.05124221274220371
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_avg_var_affect_impl,0.003273067195579305
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_avg_string_impl,0.0020083365017823833
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,CO_avg_for_simple_impl,0.03099198449203696
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_avg_walk_ctr_fun_used,0.04416307849572805
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_avg_left_ctr_fun_used,0.02862509481017835
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_std_walk_ctr_fun_used,0.027343424587861292
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_std_left_ctr_fun_used,0.020727930046365514
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_std_right_ctr_fun_used,0.027982698569867525
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,GA_max_progression,0.05303417947929085
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,2,EX_rate_speed_changed,0.049128376734790626
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_base_disp_time,0.018991426711789994
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_var_disp_time,0.0253323938719809
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_condi_disp_time,0.015680876752646
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_for_disp_time,0.1596488947094804
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_while_disp_time,0.007493474455211706
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_std_base_disp_time,0.013752296183179212
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_std_while_disp_time,0.0032868436105501354
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_code_editor_copied,0.008449266320607772
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_control_function_copied,0.007874093397370779
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_var_creation_copied,0.0009948209707359573
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_var_modif_copied,0.0010295277402472282
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_var_usage_copied,0.0003233625991440846
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_condi_1bran_copied,0.0028390423321005697
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_condi_2bran_copied,0.00038791811890108956
