level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,mean_rate_features_nohelp_nosub,1,Teacher Ordered baseline,,,0.5121212121212121,0.5666666666666667,0.5140964493905671
Level1,mean_rate_features_nohelp_nosub,1,Naive Bayes,0.4911861898358449,{'naive_bayes_clf__alpha': 1.0},0.25,0.5,0.3333333333333333
Level1,mean_rate_features_nohelp_nosub,1,Logistic regression,0.5950196040415598,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6186335403726708,0.6666666666666666,0.6128654970760233
Level1,mean_rate_features_nohelp_nosub,1,SVM,0.5615080383964971,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7594202898550724,0.7333333333333333,0.6980048159614722
Level1,mean_rate_features_nohelp_nosub,1,Random Forest,0.6742395493810618,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.7976190476190477,0.7666666666666667,0.7555555555555554
Level1,mean_rate_features_nohelp_nosub,2,Dummy random baseline,,,0.422180993609565,0.2571428571428571,0.30904954694428377
Level1,mean_rate_features_nohelp_nosub,2,Ordered baseline,,,0.5817805383022775,0.2857142857142857,0.2820047677190535
Level1,mean_rate_features_nohelp_nosub,2,Teacher Ordered baseline,,,0.5051759834368531,0.5714285714285714,0.5261224489795918
Level1,mean_rate_features_nohelp_nosub,2,Naive Bayes,0.4262574863638693,{'naive_bayes_clf__alpha': 1.0},0.6377551020408163,0.6571428571428571,0.5955555555555555
Level1,mean_rate_features_nohelp_nosub,2,Logistic regression,0.5823908265647396,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.7487912087912088,0.7142857142857143,0.6982342342342341
Level1,mean_rate_features_nohelp_nosub,2,SVM,0.5965072594789238,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.5210884353741497,0.6285714285714286,0.5696934644303067
Level1,mean_rate_features_nohelp_nosub,2,Random Forest,0.6817688124985672,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.7561224489795919,0.7428571428571429,0.745711431425717
Level1,mean_rate_features_nohelp_nosub,3,Dummy random baseline,,,0.37142857142857144,0.17142857142857143,0.21125541125541128
Level1,mean_rate_features_nohelp_nosub,3,Ordered baseline,,,0.20782608695652174,0.11428571428571428,0.0954715821812596
Level1,mean_rate_features_nohelp_nosub,3,Teacher Ordered baseline,,,0.8074534161490683,0.8571428571428571,0.831168831168831
Level1,mean_rate_features_nohelp_nosub,3,Naive Bayes,0.4924665759059367,{'naive_bayes_clf__alpha': 1.0},0.5704761904761905,0.6,0.5349709114414997
Level1,mean_rate_features_nohelp_nosub,3,Logistic regression,0.6071807315476236,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.7085262563523433,0.7428571428571429,0.7194805194805194
Level1,mean_rate_features_nohelp_nosub,3,SVM,0.5922690877825054,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7036190476190476,0.7428571428571429,0.7141985398278304
