level_key,features_set,K,classifier,Precision,Recall,F1_score
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Dummy random baseline,0.17530887259556757,0.16666666666666666,0.16539049830458497
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Dummy random baseline,0.3474105604540388,0.34615384615384615,0.3398681090988783
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Dummy random baseline,0.1896048396048396,0.18681318681318682,0.18487645745710263
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Dummy random baseline,0.2393231768231768,0.22077922077922077,0.21921928646066574
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,Ordered baseline,0.5584269035249427,0.46153846153846156,0.4348097878576833
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Ordered baseline,0.5499748047367095,0.4166666666666667,0.4058833678398896
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Ordered baseline,0.5667038275733928,0.44871794871794873,0.42632939074926607
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Ordered baseline,0.5587912087912088,0.46153846153846156,0.43757959851320394
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Ordered baseline,0.611933111933112,0.45454545454545453,0.4358321660872968
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,Teacher ordered baseline,0.3929110105580694,0.47435897435897434,0.4267399267399267
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Teacher ordered baseline,0.4525664811379097,0.5238095238095238,0.48428914835164827
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Teacher ordered baseline,0.377910342166195,0.46153846153846156,0.4146647470176882
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Teacher ordered baseline,0.3969960960092539,0.4835164835164835,0.43374978196406766
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Teacher ordered baseline,0.2934216684216684,0.35064935064935066,0.31295935702715366
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,Naive Bayes,0.3288156288156288,0.47435897435897434,0.3872670656351871
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Naive Bayes,0.3200549450549451,0.47619047619047616,0.37891967835470663
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Naive Bayes,0.3366778149386845,0.5256410256410257,0.41041767456861794
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Naive Bayes,0.4043494320805245,0.45054945054945056,0.3923378209092495
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Naive Bayes,0.3411255411255411,0.35064935064935066,0.2638414217361586
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,Logistic regression,0.41440673147990215,0.46153846153846156,0.39769422120168385
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Logistic regression,0.390015015015015,0.5119047619047619,0.4276890550740844
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Logistic regression,0.34910274391340307,0.5384615384615384,0.42345825115055885
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Logistic regression,0.5379876533722687,0.5164835164835165,0.47635502542334834
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Logistic regression,0.5194805194805194,0.4025974025974026,0.33274843893108214
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,SVM,0.3298703212496316,0.46153846153846156,0.37798237798237794
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,SVM,0.46150632992738255,0.4880952380952381,0.4003853333054737
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,SVM,0.3534076760677745,0.5512820512820513,0.4297041420118343
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,SVM,0.42572626534890684,0.4835164835164835,0.4057521142293854
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,SVM,0.34409769335142465,0.36363636363636365,0.26880275254018604
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,Decision Tree,0.3831732783345687,0.38461538461538464,0.38059976422045383
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Decision Tree,0.37366946778711485,0.35714285714285715,0.36252349942826134
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Decision Tree,0.41612611526404625,0.3974358974358974,0.39017617303331587
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Decision Tree,0.3785103785103785,0.37362637362637363,0.3746235615564109
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Decision Tree,0.41847041847041844,0.38961038961038963,0.3913495200451722
Level3,mean_sd_rate_ib_no_sub_content_features_keys,0,Random Forest,0.4082370620832159,0.4230769230769231,0.39992229992229994
Level3,mean_sd_rate_ib_no_sub_content_features_keys,1,Random Forest,0.5147380814674047,0.5238095238095238,0.5096588596588596
Level3,mean_sd_rate_ib_no_sub_content_features_keys,2,Random Forest,0.5217688666978728,0.5512820512820513,0.5177867746288799
Level3,mean_sd_rate_ib_no_sub_content_features_keys,3,Random Forest,0.5675551925551926,0.5494505494505495,0.5417922180794954
Level3,mean_sd_rate_ib_no_sub_content_features_keys,4,Random Forest,0.47093727386982515,0.4675324675324675,0.4626282986906449
Level3,mean_sd_rate_oa_features_keys,0,Dummy random baseline,0.3094595463016515,0.28205128205128205,0.28938429969164603
Level3,mean_sd_rate_oa_features_keys,1,Dummy random baseline,0.26029641654641655,0.23809523809523808,0.2424405678978521
Level3,mean_sd_rate_oa_features_keys,2,Dummy random baseline,0.22447552447552446,0.21794871794871795,0.21436232612703202
Level3,mean_sd_rate_oa_features_keys,3,Dummy random baseline,0.3235460448739524,0.31868131868131866,0.3119558790190456
Level3,mean_sd_rate_oa_features_keys,4,Dummy random baseline,0.32142100323918504,0.3116883116883117,0.30379974399907955
Level3,mean_sd_rate_oa_features_keys,0,Ordered baseline,0.5584269035249427,0.46153846153846156,0.4348097878576833
Level3,mean_sd_rate_oa_features_keys,1,Ordered baseline,0.5499748047367095,0.4166666666666667,0.4058833678398896
Level3,mean_sd_rate_oa_features_keys,2,Ordered baseline,0.5667038275733928,0.44871794871794873,0.42632939074926607
Level3,mean_sd_rate_oa_features_keys,3,Ordered baseline,0.5587912087912088,0.46153846153846156,0.43757959851320394
Level3,mean_sd_rate_oa_features_keys,4,Ordered baseline,0.611933111933112,0.45454545454545453,0.4358321660872968
Level3,mean_sd_rate_oa_features_keys,0,Teacher ordered baseline,0.3929110105580694,0.47435897435897434,0.4267399267399267
Level3,mean_sd_rate_oa_features_keys,1,Teacher ordered baseline,0.4525664811379097,0.5238095238095238,0.48428914835164827
Level3,mean_sd_rate_oa_features_keys,2,Teacher ordered baseline,0.377910342166195,0.46153846153846156,0.4146647470176882
Level3,mean_sd_rate_oa_features_keys,3,Teacher ordered baseline,0.3969960960092539,0.4835164835164835,0.43374978196406766
Level3,mean_sd_rate_oa_features_keys,4,Teacher ordered baseline,0.2934216684216684,0.35064935064935066,0.31295935702715366
